"AXE",2.10,0.35,-6.60,2.66B,2.23,80.60,63.99
"BDGE",1.79,5.03,0.00,655.82M,7.54,37.85,29.95
"AXL",2.74,0.36,29.60,1.42B,2.64,18.60,16.56
"BDN",1.44,5.06,5.92,2.79B,3.11,15.70,15.84
"AXP",3.27,2.25,1.94,68.23B,4.15,75.00,65.60
"BDX",4.69,2.85,1.70,35.40B,2.47,167.75,172.40
"AXS",1.05,1.42,3.05,5.76B,3.36,63.90,56.57
"BEAT",6.30,3.12,0.00,654.96M,1.75,21.20,18.49
"AXTI",1.15,1.91,3.36,154.60M,0.47,4.70,4.37
"BEAV",31.69,2.12,1.71,6.10B,5.60,59.67,51.64
"AYI",6.48,3.27,1.14,10.64B,5.08,248.16,255.21
"BEBE",0.37,0.12,0.00,43.24M,19.68,5.66,0.82
"AYR",0.93,2.15,2.01,1.66B,8.56,21.10,20.96
"BEC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BECN",2.14,0.69,1.36,2.89B,3.78,47.36,44.65
"BLKB",12.84,4.22,1.63,3.03B,10.12,64.74,65.86
"BEE",N/A,N/A,0,N/A,0,N/A,14
"BLL",3.61,1.59,2.51,13.38B,7.08,76.66,76.20
"BELFB",2.13,0.67,0.00,376.49M,5.57,28.95,23.01
"BLT",N/A,N/A,0.00,N/A,0.00,10.00,10.00
"BEN",1.88,3.38,-3.18,22.62B,2.44,39.28,35.77
"BLTI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BEXP",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BLUD",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BF.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BLX",1.16,8.09,1.78,1.14B,8.80,29.82,27.87
"BFIN",1.38,5.17,4.80,281.07M,8.50,14.97,12.76
"BMC",N/A,N/A,0,N/A,0,N/A,3511
"BFS",10.53,6.68,0.00,1.43B,3.32,66.43,63.64
"BMI",4.34,2.76,2.22,1.11B,5.34,37.65,34.80
"BG",1.59,0.24,1.76,9.98B,2.51,72.83,63.71
"BMR",N/A,N/A,0,N/A,0,N/A,22
"BGC",3.68,0.27,2.80,973.60M,8.46,19.60,15.18
"BMRC",1.91,5.39,1.79,427.03M,4.13,72.85,52.89
"BGCP",3.10,1.09,0.99,2.78B,2.76,9.92,9.05
"BMRN",5.54,14.05,-0.92,14.51B,5.30,85.36,89.33
"BGFV",1.95,0.38,1.96,395.13M,4.19,18.05,13.73
"BMS",3.54,1.14,2.30,4.56B,6.12,48.46,50.56
"BGG",2.03,0.52,-0.38,935.35M,15.97,22.13,20.38
"BMTC",1.79,4.39,2.71,690.05M,2.64,40.05,31.78
"BGMD",N/A,0.4967,0.0000,621413.12,2.6600,0.0687,0.1609
"BMTI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BGS",3.62,2.21,1.12,2.91B,6.19,43.85,46.27
"BMY",6.27,5.30,1.14,99.30B,1.33,58.62,61.62
"BH",2.12,1.14,3.72,985.07M,3.24,472.21,433.65
"BNCL",1.26,7.69,4.21,1.30B,4.97,18.30,14.73
"BHE",1.09,0.62,1.72,1.46B,6.49,29.70,24.47
"BNHNA",N/A,N/A,N/A,N/A,N/A,N/A,N/A
